1,20200101,2020-01-01,2020-01-01,2020-11-15,road,S Pinckney St,Full,S Pinckney St
2,20200302,2020-03-02,2020-03-02,2020-10-02,road,,Partial,
3,20200330,2020-03-30,2020-03-30,2020-07-10,road,Elizabeth St,Full,Elizabeth St
4,20200330,2020-03-30,2020-03-30,2020-07-10,road,N Ingersoll St,Full,N Ingersoll St
5,20200408,2020-04-08,2020-04-08,2020-07-09,road,Martin Luther King Jr Blvd,Partial,Martin Luther King Jr Blvd
6,20200420,2020-04-20,2020-04-20,2020-11-13,road,Gammon Rd,Partial,Gammon Rd
7,20200420,2020-04-20,2020-04-20,2020-04-24,road,Schroeder Rd,Full,Schroeder Rd
8,20200420,2020-04-20,2020-04-20,2020-06-01,road,W Dayton St,Full,W Dayton St
9,20200420,2020-04-20,2020-04-20,2020-05-22,road,Woods Rd,Full,Woods Rd
10,20200424,2020-04-24,2020-04-24,2020-06-07,road,McKenna Blvd,Partial,McKenna Blvd
11,20200427,2020-04-27,2020-04-27,2020-10-02,road,Copeland St,Full,Copeland St
12,20200427,2020-04-27,2020-04-27,2020-10-02,road,Cross St,Full,Cross St
13,20200427,2020-04-27,2020-04-27,2020-10-02,road,Gregory St,Full,Gregory St
14,20200427,2020-04-27,2020-04-27,2020-10-02,road,Western Ave,Full,Western Ave
15,20200501,2020-05-01,2020-05-01,2020-05-15,road,Buckeye Rd,Full,Buckeye Rd
16,20200501,2020-05-01,2020-05-01,2020-07-10,road,Packers Ave,Partial,Packers Ave
17,20200513,2020-05-13,2020-05-13,2020-05-16,road,E Mifflin St,Full,E Mifflin St
18,20200611,2020-06-11,2020-06-11,2020-08-15,road,Shroeder Rd,Full,Shroeder Rd
19,20200611,2020-06-11,2020-06-11,2020-08-15,road,Struck St,Full,Struck St
20,20200615,2020-06-15,2020-06-15,2020-09-04,road,Anderson St,Partial,Anderson St
21,20200629,2020-06-29,2020-06-29,2020-07-10,road,Sycamore Ave,Full,Sycamore Ave
22,20200706,2020-07-06,2020-07-06,2020-07-13,road,Southwest Commuter Path,Full,Southwest Commuter Path
23,20200707,2020-07-07,2020-07-07,2020-08-31,road,Rieder Rd,Full,Rieder Rd
24,20200713,2020-07-13,2020-07-13,2020-10-02,road,Rethke Ave,Full,Rethke Ave
25,20200717,2020-07-17,2020-07-17,2020-07-17,road,W Dayton St,Full,W Dayton St
26,20200727,2020-07-27,2020-07-27,2020-10-16,road,Campbell St,Full,Campbell St
27,20200727,2020-07-27,2020-07-27,2020-10-16,road,Vilas Ave,Full,Vilas Ave
28,20200728,2020-07-28,2020-07-28,2020-07-31,road,E Doty St,Full,E Doty St
29,20200801,2020-08-01,2020-08-01,2020-10-31,road,E Dayton St,Full,E Dayton St
30,20200810,2020-08-10,2020-08-10,2020-10-31,road,E Gorham St,Partial,E Gorham St
31,20200825,2020-08-25,2020-08-25,2020-09-11,road,N Ingersoll St,Full,N Ingersoll St
32,20200826,2020-08-26,2020-08-26,2020-09-25,road,Capital City Trail,Full,Capital City Trail
33,20201011,2020-10-11,2020-10-11,2020-10-17,road,University Ave,Partial,University Ave
34,20201019,2020-10-19,2020-10-19,2020-12-31,road,S Blair St,Partial,S Blair St
35,20210223,2021-02-23,2021-02-23,2021-02-23,road,Felland Rd,Full,Felland Rd
36,20210322,2021-03-22,2021-03-22,2021-03-25,road,E Doty St,Full,E Doty St
37,20210329,2021-03-29,2021-03-29,2021-10-01,road,High St,Full,High St
38,20210329,2021-03-29,2021-03-29,2021-10-01,road,South St,Full,South St
39,20210329,2021-03-29,2021-03-29,2021-10-01,road,W Wingra St,Full,W Wingra St
40,20210405,2021-04-05,2021-04-05,2021-09-15,road,Dunning St,Full,Dunning St
41,20210405,2021-04-05,2021-04-05,2021-09-15,road,Jackson St,Full,Jackson St
42,20210405,2021-04-05,2021-04-05,2021-09-15,road,Lafollette Ae,Full,Lafollette Ae
43,20210412,2021-04-12,2021-04-12,2021-05-09,road,South Point Rd,Full,South Point Rd
44,20210419,2021-04-19,2021-04-19,2021-05-28,road,S Park St,Partial,S Park St
45,20210510,2021-05-10,2021-05-10,2021-07-31,road,E Gorham St,Partial,E Gorham St
46,20210524,2021-05-24,2021-05-24,2021-06-18,road,S Gammon Rd,Partial,S Gammon Rd
47,20210606,2021-06-06,2021-06-06,2021-06-06,road,Ride The Drive - Kennedy Park,Special Event,Ride The Drive - Kennedy Park
48,20210606,2021-06-06,2021-06-06,2021-06-06,road,Ride The Drive - Warner Park,Special Event,Ride The Drive - Warner Park
49,20210606,2021-06-06,2021-06-06,2021-06-06,road,Ride The Drive - Wingra Park,Special Event,Ride The Drive - Wingra Park
50,20210607,2021-06-07,2021-06-07,2021-06-07,road,Mineral Point Rd,Full,Mineral Point Rd
51,20210612,2021-06-12,2021-06-12,2021-06-12,road,E Johnson St,Full,E Johnson St
52,20210614,2021-06-14,2021-06-14,2021-11-01,road,Allis Ave,Full,Allis Ave
53,20210614,2021-06-14,2021-06-14,2021-11-01,road,E Dean Ave,Full,E Dean Ave
54,20210614,2021-06-14,2021-06-14,2021-11-01,road,Seth Cir,Full,Seth Cir
55,20210614,2021-06-14,2021-06-14,2021-11-01,road,Shaffer Ave,Full,Shaffer Ave
56,20210614,2021-06-14,2021-06-14,2021-11-01,road,Tyler Cir,Full,Tyler Cir
57,20210619,2021-06-19,2021-06-19,2021-06-19,road,Farmers' Market,Special Event,Farmers' Market
58,20210623,2021-06-23,2021-06-23,2021-06-23,road,Farmers' Market,Special Event,Farmers' Market
59,20210626,2021-06-26,2021-06-26,2021-06-26,road,Farmers' Market,Special Event,Farmers' Market
60,20210628,2021-06-28,2021-06-28,2021-10-15,road,Alden Dr,Full,Alden Dr
61,20210628,2021-06-28,2021-06-28,2021-10-15,road,Hillcrest Dr,Full,Hillcrest Dr
62,20210628,2021-06-28,2021-06-28,2021-10-15,road,Standish Ct,Full,Standish Ct
63,20210630,2021-06-30,2021-06-30,2021-06-30,road,Farmers' Market,Special Event,Farmers' Market
